"hometown"
"Roggwil BE"
"Glarus Nord und Glarus"
"Escholzmatt-Marbach und Thalheim (AG)"
"Bottens"
"Dallenwil und Staefa"
"Zuerich und Buttwil"
"Luzern und Triengen"
"Mosogno"
"Engelberg und Basel"
"Wauwil und Dagmersellen"
"l'Ecole 20"
"Le Cerneux-Pequignot"
"Rapperswil"
"Tafers et Luterbach"
"Netstal"
"Payerne"
"Vevey"
"Ebikon und Emmen"
"Bern und Madiswil"
"Chavannes-le-Veyron"
"Wila und Turbenthal"
"Root und Ramsen"
"Schangnau und Besenbueren"
"Versoix;"
"Portugal"
"Buerglen"
"Ardez"
"Arlesheim und Basel"
"Obergerlafingen"
"la Traille 16"
"Willisau und Emmetten"
"Horw und Oberwil (BL)"
"Hausen AG"
"Huttwil und Oeschenbach"
"Schübelbach"
"Duebendorf und Niederbipp"
"Holziken und Neuheim"
"Liestal und Sissach"
"Donneloye"
"Estavayre"
"Eschlikon und Diepoldsau"
"Rueggisberg"
"Interlaken und Aedermannsdorf"
"Moehlin und Flueelen"
"Ménières"
"Flueehli"
"Wald (AR) und Basel"
"Zollikon und Trimmis"
"Aristau und Muri (AG)"
"Birsfelden"
"Zaeziwil und Wimmis"
"Herzogenbuchsee und Sumiswald"
"Beromuenster und Grosswangen"
"Opfikon"
"l'Athénée 22"
"Erlenbach (ZH) und Appenzell"
"Kaltbrunn und Cham"
"Comte-Géraud 5"
"Gudo"
"Alberswil"
"Wildhaus-Alt"
"Reichenbach im Kandertal und Riggisberg"
"Grafschaft"
"Almeida Maria Jùlia"
"Reichenburg und Leuzigen"
"Glarus Nord und Ebnat-Kappel"
"Lenzburg"
"Potugal"
"Fraubrunnen und Weesen"
"Zuerich und Teufen (AR)"
"Altnau und Muellheim"
"Zuerich und Birwinken"
"Baldingen und Scheuren"
"Biglen und Inden"
"Horgen"
"Chancy 71"
"Espage"
"Wasterkingen und Langnau im Emmental"
"Tägerig"
"Saules BE"
"Rothenburg und Wolfenschiessen"
"France 28"
"Schaffhausen und Loehningen"
"Emmen und Schwarzenberg"
"Berguen Filisur und Zuerich"
"Utzenstorf"
"Zuerich und Reinach (AG)"
"Leuk"
"Allmendingen"
"Escholzmatt-Marbach und Kuesnacht (ZH)"
"Rueschegg und Ursenbach"
"Thal und Mammern"
"und in Fraeschels"
"Winterthur und Basel"
"Cuarnens"
"Eschenbach (LU) und Hohenrain"
"Fischbach-Göslikon"
"Biglen und Arni (BE)"
"Basel und Oberriet (SG)"
"Grenchen und Fraubrunnen"
"Plaffeien und Langnau im Emmental"
"Oftringen und Vilters-Wangs"
"Dielsdorf und Rebstein"
"Wikon und Malters"
"Boezberg"
"Waedenswil und Birwinken"
"Muensterlingen"
"Moerschwil und Ermatingen"
"Cham und Emmen"
"Luzern und Vals"
"Stammhein"
"Kirchberg (SG) und Pfyn"
"Matran"
"Reitnau"
"Kirchberg (SG) und Malters"
"Rickenbach (LU) und Sins"
"Compostelle 24"
"Waldkirch und Andiast"
"Schaffhausen und Altstaetten"
"Andelfingen und Frauenfeld"
"Tafers und Heitenried"
"Sergey"
"Brügg"
"Elsau"
"Carouge 36"
"Val-de-Travers (NE)"
"Luzern und Menzingen"
"Hergiswil (NW) und Emmen"
"Aigle"
"Royaume-Unis"
"Luzern und Solothurn"
"Oberkulm und Basel"
"Manno"
"Chypres"
"Bioley-Magnoux"
"Frutigen und Hilterfingen"
"Hasle (LU) und Escholzmatt-Marbach"
"Vergeletto"
"Weiach"
"Macédoine  Kumanovo (Macédoine)"
"Schuepfheim und Emmen"
"Blenio"
"Saint-Sylvestre"
"Basel und Kandersteg"
"Val-de-Travers und Neuchâtel"
"Pratteln und Habkern"
"Liddes et Collombey-Muraz"
"Lauterbrunnen und Frutigen"
"Oberbalm"
"Gais und Amriswil"
"Sumiswald und Trub"
"Ausserberg"
"Uetikon am See und Gaechlingen"
"Demoret"
"Meggen und Diessenhofen"
"Neuenkirch und Meggen"
"Gossau (SG) und Stein (AR)"
"Hergiswil NW"
"Waedenswil und Homburg"
"Loèche"
"Huttwil und Zuerich"
"Waldenburg"
"Coinsins"
"Bettlach und Forst-Laengenbuehl"
"Stauffenberg"
"Pfungen"
"Neunkirch und Schaffhausen"
"Isental"
"La Neuveville et La Baroche"
"Niederweningen"
"Einsiedeln und Zuerich"
"Kaisten AG"
"Ammerswil"
"Geuensee und Fluehli"
"Molard-Rochau 11"
"Diessenhofen und Steckborn"
"Teufen"
"Romanshorn und Pfyn"
"Waldkirch und Buerglen (TG)"
"Gurbrue"
"Essertines-sur-Yverdon"
"Ruswil und Nottwil"
"Zuerich und Winkel"
"la Gare 34"
"Oberkirch und Ruswil"
"Wolfisberg"
"Richemont 16"
"Zweisimmen"
"Estvayer"
"Grange-Canal 13"
"Lyss und Bern"
"Unteraegeri"
"Rüti bei Büren"
"Escholzmatt-Marbach und Trub"
"Aadorf und Turbenthal"
"Kaisten und Zuerich"
"Lavin"
"Fraubrunnen und Schuepfen"
"Bergen-Siegenthaler"
"Ftan"
