Nr.,Kt.,bfs_gmde_nummer_1974,bfs_gmde_name_1974,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung in %,leer,ungültig,Gültige Stimmen,JA,NEIN,JA in %
22,VD,5687,Sottens,107.0,72.0,67.28971962616822,,,71,10,61,14.08450704225352
22,VD,5688,Syens,79.0,52.0,65.82278481012659,,,52,17,35,32.69230769230769
22,VD,5689,Thierrens,253.0,130.0,51.383399209486164,,,130,37,93,28.461538461538463
22,VD,5690,Villars-le-Comte,84.0,58.0,69.04761904761905,,,56,32,24,57.142857142857146
22,VD,5691,Villars-Mendraz,54.0,35.0,64.81481481481481,,,32,13,19,40.625
22,VD,5692,Vucherens,211.0,110.0,52.132701421800945,,,110,34,76,30.909090909090907
22,VD,5701,Arnex-sur-Nyon,42.0,25.0,59.523809523809526,,,25,6,19,24.0
22,VD,5702,Arzier,359.0,271.0,75.4874651810585,,,266,72,194,27.06766917293233
22,VD,5703,Bassins,256.0,182.0,71.09375,,,179,35,144,19.553072625698324
22,VD,5704,Begnins,548.0,396.0,72.26277372262774,,,393,77,316,19.592875318066156
22,VD,5705,Bogis-Bossey,59.0,40.0,67.79661016949152,,,40,7,33,17.5
22,VD,5706,Borex,190.0,148.0,77.89473684210526,,,146,22,124,15.068493150684931
22,VD,5707,Chavannes-de-Bogis,122.0,90.0,73.77049180327869,,,89,20,69,22.471910112359552
22,VD,5708,Chavannes-des-Bois,63.0,56.0,88.88888888888889,,,55,10,45,18.18181818181818
22,VD,5709,Chéserex,183.0,131.0,71.58469945355192,,,131,29,102,22.137404580152673
22,VD,5710,Coinsins,114.0,85.0,74.56140350877193,,,84,23,61,27.38095238095238
22,VD,5711,Commugny,401.0,326.0,81.29675810473816,,,320,30,290,9.375
22,VD,5712,Coppet,545.0,442.0,81.10091743119267,,,436,62,374,14.220183486238533
22,VD,5713,Crans-près-Céligny,522.0,394.0,75.47892720306514,,,392,53,339,13.520408163265307
22,VD,5714,Crassier,205.0,155.0,75.60975609756098,,,154,26,128,16.883116883116884
22,VD,5715,Duillier,214.0,149.0,69.62616822429906,,,149,34,115,22.818791946308725
22,VD,5716,Eysins,258.0,171.0,66.27906976744187,,,169,39,130,23.076923076923077
22,VD,5717,Founex,487.0,393.0,80.69815195071868,,,389,48,341,12.339331619537274
22,VD,5718,Genolier,325.0,240.0,73.84615384615385,,,237,43,194,18.143459915611814
22,VD,5719,Gingins,356.0,248.0,69.66292134831461,,,244,54,190,22.13114754098361
22,VD,5720,Givrins,234.0,168.0,71.7948717948718,,,167,28,139,16.766467065868262
22,VD,5721,Gland,1807.0,1280.0,70.83563918096291,,,1271,241,1030,18.96144767899292
22,VD,5722,Grens,104.0,76.0,73.07692307692308,,,74,10,64,13.513513513513512
22,VD,5723,Mies,395.0,316.0,80.0,,,310,37,273,11.935483870967742
22,VD,5724,Nyon,6115.0,4596.0,75.15944399018805,,,4532,893,3639,19.70432480141218
22,VD,5725,Prangins,892.0,660.0,73.99103139013454,,,651,125,526,19.201228878648234
22,VD,5726,La Rippe,202.0,136.0,67.32673267326733,,,136,28,108,20.58823529411765
22,VD,5727,Saint-Cergue,243.0,179.0,73.66255144032922,,,177,32,145,18.07909604519774
22,VD,5728,Signy-Avenex,141.0,108.0,76.59574468085107,,,108,11,97,10.185185185185185
22,VD,5729,Tannay,241.0,195.0,80.91286307053943,,,192,28,164,14.583333333333334
22,VD,5730,Trélex,301.0,241.0,80.06644518272425,,,237,43,194,18.143459915611814
22,VD,5731,Le Vaud,173.0,135.0,78.03468208092487,,,134,35,99,26.11940298507463
22,VD,5732,Vich,179.0,122.0,68.15642458100558,,,121,30,91,24.793388429752067
22,VD,5741,L'Abergement,119.0,81.0,68.0672268907563,,,81,26,55,32.098765432098766
22,VD,5742,Agiez,134.0,95.0,70.8955223880597,,,94,32,62,34.04255319148936
22,VD,5743,Arnex-sur-Orbe,313.0,197.0,62.939297124600635,,,196,48,148,24.48979591836735
22,VD,5744,Ballaigues,538.0,379.0,70.4460966542751,,,378,61,317,16.137566137566136
22,VD,5745,Baulmes,479.0,353.0,73.69519832985387,,,352,77,275,21.875
22,VD,5746,Bavois,296.0,174.0,58.78378378378378,,,170,86,84,50.58823529411765
22,VD,5747,Bofflens,100.0,71.0,71.0,,,71,21,50,29.577464788732392
22,VD,5748,Bretonnières,129.0,96.0,74.4186046511628,,,96,19,77,19.791666666666668
22,VD,5749,Chavornay,1024.0,616.0,60.15625,,,610,128,482,20.983606557377048
22,VD,5750,Les Clées,77.0,51.0,66.23376623376623,,,51,11,40,21.56862745098039
22,VD,5751,Corcelles-sur-Chavornay,155.0,83.0,53.54838709677419,,,83,26,57,31.32530120481928
22,VD,5752,Croy,154.0,112.0,72.72727272727272,,,110,26,84,23.636363636363637
22,VD,5754,Juriens,147.0,95.0,64.62585034013605,,,92,13,79,14.130434782608695
22,VD,5755,Lignerolle,194.0,131.0,67.52577319587628,,,131,20,111,15.267175572519085
22,VD,5756,Montcherand,165.0,117.0,70.9090909090909,,,117,33,84,28.205128205128204
22,VD,5757,Orbe,2358.0,1528.0,64.80067854113655,,,1511,387,1124,25.61217736598279
22,VD,5758,La Praz,96.0,71.0,73.95833333333334,,,71,19,52,26.76056338028169
22,VD,5759,Premier,110.0,88.0,80.0,,,84,13,71,15.476190476190476
22,VD,5760,Rances,220.0,131.0,59.54545454545455,,,131,31,100,23.664122137404583
22,VD,5761,Romainmôtier-Envy,219.0,152.0,69.40639269406392,,,150,37,113,24.666666666666664
22,VD,5762,Sergey,43.0,32.0,74.4186046511628,,,31,9,22,29.032258064516128
22,VD,5763,Valeyres-sous-Rances,206.0,126.0,61.16504854368932,,,126,28,98,22.22222222222222
22,VD,5764,Vallorbe,2072.0,1386.0,66.89189189189189,,,1371,289,1082,21.079504011670313
22,VD,5765,Vaulion,295.0,198.0,67.11864406779661,,,198,19,179,9.595959595959597
22,VD,5766,Vuiteboeuf,155.0,109.0,70.3225806451613,,,106,21,85,19.81132075471698
22,VD,5781,Bussigny-sur-Oron,27.0,13.0,48.148148148148145,,,13,2,11,15.384615384615385
22,VD,5782,Carrouge (VD),290.0,155.0,53.44827586206897,,,155,38,117,24.516129032258064
22,VD,5783,Châtillens,148.0,96.0,64.86486486486487,,,95,29,66,30.52631578947368
22,VD,5784,Chesalles-sur-Oron,82.0,42.0,51.21951219512195,,,41,16,25,39.02439024390244
22,VD,5785,Corcelles-le-Jorat,264.0,165.0,62.5,,,160,58,102,36.25
22,VD,5786,Les Cullayes,168.0,91.0,54.166666666666664,,,89,18,71,20.224719101123597
22,VD,5787,Ecoteaux,164.0,92.0,56.09756097560975,,,92,28,64,30.43478260869565
22,VD,5788,Essertes,104.0,72.0,69.23076923076923,,,71,21,50,29.577464788732392
22,VD,5789,Ferlens (VD),106.0,67.0,63.20754716981132,,,66,22,44,33.333333333333336
22,VD,5790,Maracon,133.0,87.0,65.41353383458646,,,85,23,62,27.058823529411764
22,VD,5791,Mézières (VD),375.0,238.0,63.46666666666667,,,235,64,171,27.23404255319149
22,VD,5792,Montpreveyres,167.0,95.0,56.88622754491018,,,94,29,65,30.851063829787233
22,VD,5793,Oron-la-Ville,539.0,382.0,70.87198515769944,,,380,60,320,15.789473684210526
22,VD,5794,Oron-le-Châtel,90.0,62.0,68.88888888888889,,,60,14,46,23.333333333333336
22,VD,5795,Palézieux,480.0,265.0,55.208333333333336,,,265,66,199,24.905660377358494
22,VD,5796,Peney-le-Jorat,137.0,78.0,56.934306569343065,,,78,15,63,19.230769230769234
